dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2008;CZ053;AIS;AIS5;190496,0000000;0,0000000000;190496,0000000000
2008;CZ053;HC;HC;15621649,4286560;2756761,5521609997;18378410,9808170013
2008;CZ053;INFR;INFR;364419613,6038220;69371843,4346280098;433791457,0384500027
2008;CZ053;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ053;TA;TA;23430606,6062910;4263703,2682429999;27694309,8745339997
2008;CZ063;AIS;AIS2;44859520,0000000;665291,0000000000;45524811,0000000000
2008;CZ063;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ063;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ063;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;CZ063;HC;HC;4363709,6586560;2204136,5621610000;6567846,2208169997
2008;CZ063;INFR;INFR;980933610,3500000;189531399,7500000000;1170465010,1000001431
2008;CZ063;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ063;TA;TA;60842676,2252080;11710525,0695980005;72553201,2948059887
2008;CZ064;AIS;AIS2;88586182,0000000;164340,0000000000;88750522,0000000000
2008;CZ064;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ064;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ064;AIS;AIS5;601722,0000000;15308,0000000000;617030,0000000000
2008;CZ064;HC;HC;34677329,8986560;7393424,2121609999;42070754,1108170003
2008;CZ064;INFR;INFR;680183567,9714999;138135525,0884999931;818319093,0599999428
2008;CZ064;RTD;RTD;24451952,0000000;0,0000000000;24451952,0000000000
2008;CZ064;TA;TA;158912472,8992080;64868624,0165980011;223781096,9158059955
2008;CZ071;AIS;AIS2;43995328,0000000;0,0000000000;43995328,0000000000
2008;CZ071;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ071;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ071;AIS;AIS5;595000,0000000;0,0000000000;595000,0000000000
2008;CZ071;HC;HC;15674184,0086560;2802638,6455621002;18476822,6542181000
2008;CZ071;INFR;INFR;284113344,6900000;62805602,9600000009;346918947,6500000358
2008;CZ071;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ071;TA;TA;33279677,1522080;6219216,5682980446;39498893,7205060422
2008;CZ072;AIS;AIS2;29842279,0000000;106381,0000000000;29948660,0000000000
2008;CZ072;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ072;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ072;AIS;AIS5;2161687,0000000;129750,0000000000;2291437,0000000000
2008;CZ072;HC;HC;21117573,1786560;3726630,8521610000;24844204,0308169983
2008;CZ072;INFR;INFR;1039398547,3900000;182931876,0100000203;1222330423,4000000954
2008;CZ072;RTD;RTD;18227423,0000000;320855,0000000000;18548278,0000000000
2008;CZ072;TA;TA;34789863,8522080;6141793,8880980005;40931657,7403059974
2008;CZ080;AIS;AIS2;94850227,0000000;0,0000000000;94850227,0000000000
2008;CZ080;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ080;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ080;AIS;AIS5;8582977,0000000;75395,0000000000;8658372,0000000000
2008;CZ080;HC;HC;69682047,6244800;16776485,2661299985;86458532,8906099945
2008;CZ080;INFR;INFR;1270168590,9899998;236783001,5679133236;1506951592,5579133034
2008;CZ080;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ080;TA;TA;130365287,1072580;17694222,8148058988;148059509,9220638871
